36 73 400 5 0 0.7
0 1 2 40 900 M 30
1 2 2 50 1200 M 30
2 10 2 45 1100 M 30
10 11 2 55 1500 M 30
0 5 2 30 700 M 30
5 6 2 35 800 M 30
6 20 2 50 1300 M 30
20 21 2 60 1800 M 30
3 12 2 45 1200 M 30
12 0 2 50 1300 M 30
0 7 2 45 1100 M 30
7 24 2 55 1500 M 30
2 13 2 30 550 M 20
13 14 2 20 350 O 10
14 32 2 25 450 M 20
32 0 2 20 400 M 20
12 15 2 25 500 M 20
15 4 2 25 600 O 20
4 16 2 35 800 O 20
16 5 2 30 650 M 20
5 18 2 25 500 M 20
18 19 2 25 550 O 10
19 20 2 30 650 M 20
7 29 2 25 500 M 20
29 8 2 25 550 M 20
8 25 2 20 450 M 20
25 9 2 30 650 M 20
9 1 2 35 800 M 20
24 23 2 25 600 M 20
23 22 2 25 550 M 20
22 20 2 35 850 M 20
32 33 2 15 250 O 10
33 5 2 15 300 O 10
33 31 1 15 250 O 10
31 34 1 15 300 O 10
34 0 1 15 280 O 10
34 7 2 20 400 M 20
35 0 2 12 220 O 10
1 35 2 18 350 O 10
35 32 2 15 280 O 10
35 30 2 15 320 O 10
30 9 2 25 500 M 20
30 34 2 20 400 O 10
31 5 2 18 350 O 10
31 6 2 22 450 O 10
16 17 2 45 1100 O 20
16 18 2 20 450 O 10
18 17 2 35 900 O 10
18 6 2 20 450 O 10
19 17 1 40 1000 O 10
19 21 2 50 1300 O 20
9 26 2 22 450 O 10
26 25 2 22 500 O 10
26 27 2 40 1000 O 10
27 28 2 35 900 O 10
28 25 2 30 650 O 10
28 24 2 40 1000 O 20
8 23 2 30 700 O 20
23 29 2 20 450 O 10
29 34 2 20 450 O 10
29 22 2 30 700 O 20
22 21 2 45 1200 O 20
26 30 2 15 0 C 0
30 0 2 18 0 C 0
0 31 2 15 0 C 0
31 22 2 25 0 C 0
4 17 1 50 1300 O 20
21 24 2 70 2000 O 30
11 3 2 90 2500 O 30
10 13 2 45 1000 O 20
13 32 2 20 400 O 10
14 35 2 18 350 O 10
6 34 2 20 420 O 10
S M M L L
